GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000023015.15	Racgap1	0.135521956761652	0.0003652897198267	0.0007007894180629	0.007,0.005,0.009	0.006,0.007,0.003	0.002
ENSMUSG00000023015.15	Racgap1	0.135521956761652	0.0003652897198267	0.0007007894180629	1.0,1.0,1.0	0.807,1.0,1.0	0.064
ENSMUSG00000023015.15	Racgap1	0.135521956761652	0.0003652897198267	0.0007007894180629	0.652,1.0,0.757	1.0,1.0,0.814	-0.135
ENSMUSG00000023015.15	Racgap1	0.135521956761652	0.0003652897198267	0.0007007894180629	0.033,0.023,0.024	0.019,0.027,0.026	0.003
ENSMUSG00000023027.14	Atf1	-0.307976448180777	2.2981941036966998e-14	7.79716533949604e-14	0.002,0.006,0.003	0.0,0.001,0.004	0.002
ENSMUSG00000023030.17	Slc11a2	-0.892796352892395	1.04034237699844e-143	2.72416209636001e-142	0.954,0.938,0.928	0.93,0.969,0.978	-0.019
ENSMUSG00000023030.17	Slc11a2	-0.892796352892395	1.04034237699844e-143	2.72416209636001e-142	0.013,0.006,0.016	0.012,0.01,0.007	0.002
ENSMUSG00000023032.13	Slc4a8	2.45468526601121	5.6683636864037905e-46	4.41662308111842e-45	NA,0.0,NA	NA,1.0,NA	-1.0
ENSMUSG00000023044.3	Csad	0.840527629935034	8.69961067937556e-12	2.6443174382809896e-11	0.0,0.0,0.0	0.0,0.018,0.03	-0.016
ENSMUSG00000023044.3	Csad	0.840527629935034	8.69961067937556e-12	2.6443174382809896e-11	0.0,0.0,0.0	0.017,0.029,0.0	-0.015
ENSMUSG00000023044.3	Csad	0.840527629935034	8.69961067937556e-12	2.6443174382809896e-11	0.0,0.039,0.0	0.0,0.086,0.0	-0.016
ENSMUSG00000023045.14	Soat2	-0.954898014293567	8.227011154236799e-23	3.70169152582041e-22	0.024,0.035,0.075	0.03,0.091,0.0	0.004
ENSMUSG00000023050.10	Map3k12	0.886381999825352	0.0143514185619837	0.022921228746182	1.0,0.0,0.23	0.272,0.0,0.0	0.319
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	0.554,0.721,0.84	0.912,0.805,1.0	-0.201
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	0.293,0.599,1.0	1.0,0.599,0.383	-0.03
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	0.381,1.0,1.0	1.0,1.0,1.0	-0.206
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	0.005,0.006,0.012	0.001,0.008,0.011	0.001
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	1.0,0.641,0.853	1.0,0.914,1.0	-0.14
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	0.0,0.007,0.001	0.0,0.002,0.014	-0.003
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	1.0,1.0,1.0	1.0,1.0,0.974	0.009
ENSMUSG00000023051.12	Tarbp2	-0.256749497513063	1.48376758259993e-05	3.18980075327978e-05	1.0,1.0,1.0	0.968,1.0,1.0	0.011
ENSMUSG00000023067.15	Cdkn1a	-3.86932265966145	0.0	0.0	1.0,0.521,1.0	1.0,1.0,1.0	-0.16
ENSMUSG00000023072.15	Cep89	-0.573375545393489	5.471327525852801e-16	1.97812391513008e-15	NA,0.0,NA	NA,NA,0.0	0.0
